Sample,Species,Preferrence,Acceptability,9.61_adipic_ketone,10.017_7-methyl-1-endecene,"10.812_3-hexen-1-ol(c,t)","11.178_Unknown_[m/z]57,91,106,56,104","11.259_Unknown_[m/z]69,93,57,79,67","11.443_Unknown_[m/z]68,67,93,79,91",11.484_ ?-Tricyclene,11.504_heptenal,11.667_B-Butoxyethanol,11.668_a-pinene,12.095_Camphene,"12.482_Unknown_[m/z]84,57,56,55,83",12.503_B-phellandrene,12.625_B-pinene,"12.767_hydroquinone,2,6-di-tert-butyl",12.909_4-Terpinenyl_acetate,"13.052_Toluene,p-ethyl-",13.053_a-thujene,"13.093_Unknown_[m/z]86,75,55,57,71",13.113_3-carene,13.175_cis-3-hexenyl_acetate,13.276_?-Terpinene,13.277_trans-2-Hexenyl_acetate,13.399_n-caprylaldehyde*,13.48_D-limonene,13.542_p-cymene,"13.623_Unknown[m/z]93,91,77,57,71","13.664_Unknown_[m/z]93,91,79,80,77",13.908_ethylhexanol,13.948_?-Terpinene,"14.091_Unknown_[m/z]119,57,105,71,134","14.275_Unknown_[m/z]57,54,110,95,67","14.397_Nonane,4,5-dimethyl-",14.479_Terpinolene,"14.641_Unknown_[m/z]57,119,134,56,71",14.763_Dehydro-p-cymene,"14.825_1,1-Dimethyl-3-methylene-2-vinylcyclohexane",14.992_?-Chlorobutyrophenone,15.07_Linalool,15.151_n-nonaldehyde,"15.171_Benzoic_acid,_methyl_ester","15.252_Unknown_[m/z]57,119,71,134,56",15.312_Durene,"Unknown_[m/z]69,79,93,91,77",16.189_(4Z)-4-Hexenyl_butyrate,16.372_(-)-Camphor,16.515_(E)-Pinocamphone,16.536_(-)-4-Terpineol,16.617_n-caprylic_acid,16.678_endo-Borneol,"16.943_Salicylic_acid,_methyl_ester",17.189_Citronellol,"17.452_Unknown_[m/z]93,57,121,136,71","17.676_Ethanol,2-phenoxy-",17.677_D-verbenone,"18.023_Unknown_[m/z]55,57,125,83,98","18.084_Unknown_[m/z]78,91,69,93,81",18.085_citral,18.125_(-)-Bornyl_acetate,18.166_Anethole,18.186_cis-Isosafrole,18.349_Decafluorobenzophenone,18.512_Bicyclopentyl-2-one,18.675_?-Cubebene,"18.695_Unknown_[m/z]121,93,84,57,136",18.715_Citronellol_acetate,"18.777_2-Oxepanone,7-hexyl-","19.103_Unknown_[m/z]69,57,93,68,67",19.185_Copaene,"19.347_Unknown_[m/z]79,57,150,122,93",19.388_undec-2-enal,19.408_(-)-?-Elemene,19.693_Methyleugenol,"19.877_Unknown_[m/z]120,161,57,105,91",20.04_caryophyllene,20.284_7-Methylpentadecane,20.386_trans-geranylacetone,"20.427_Unknown_[m/z]119,57,91,93,105",20.529_Humulene,20.63_a-farnesene,"20.774_2-Dodecenal,(E)-","20.793_Unknwon_[m/z]119,93,105,91,69","20.855_Unknown_[m/z]161,105,91,119,79","21.037_Unknown_[m/z]57,205,56,69,55","21.059_Unknown_[m/z]161,119,105,57,91","21.547_Unknown_[m/z]69,57,81,55,56","21.567_Unknown_[m/z]57,161,71,105,81",21.710_Nerolidol,"21.935_Unknown_[m/z]57,112,71,70,83",21.975_B-Elemol,"22.056_Unknown_[m/z]82,105,67,77,57",22.362_Hexadecanal,22.383_5-Germacradien-4-ol,total.area
aelm.5.12,Ul.am,preferred,preferred,5273798,0,0,0,0,0,0,0,0,0,0,24673608,0,0,0,0,0,0,0,0,75554472,0,0,2291056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4352599,0,0,1373494,0,0,0,0,0,0,0,5092405,14981567,0,0,0,0,0,0,0,0,0,0,0,0,0,2204795,0,0,5043219,0,0,0,0,0,0,0,0,0,0,2050364,0,0,142891377
aelm.5.16,Ul.am,preferred,preferred,12934737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69393901,0,0,2421591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3843531,0,0,2684619,0,0,0,0,0,0,0,7760937,29374066,0,0,0,0,0,0,1742172,0,0,0,0,0,0,7765842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137921396
aelm.6.4,Ul.am,preferred,preferred,23928795,0,17368100,0,0,0,0,0,0,0,0,5808981,0,0,0,0,0,0,0,0,71871280,0,3555789,657434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2649948,0,0,0,0,0,5666146,0,0,0,0,0,0,0,0,0,0,3510458,23534437,0,0,0,847292,0,0,3087144,0,0,0,0,2959973,0,2095403,0,0,0,0,0,3634338,0,0,0,0,0,0,0,0,2444445,0,173619963
aelm.6.22,Ul.am,preferred,preferred,21280458,0,2064498,0,0,0,0,0,0,0,0,6565849,0,0,0,0,0,0,0,0,9469605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21868343,0,0,0,0,0,0,0,0,0,0,0,0,0,23547103,0,0,0,0,0,0,0,0,0,0,2515733,26119823,0,0,0,0,0,0,2708992,0,0,0,0,3979033,0,1365502,0,0,55945857,0,0,0,0,0,0,0,0,0,0,0,0,0,177430796
bwil.5.6,Sa.ni,preferred,preferred,0,0,4632708,0,0,0,0,0,6453570,0,0,0,0,0,3064285,0,3815053,0,0,0,0,0,0,6131967,0,0,0,0,8434838,0,0,0,0,0,0,0,0,1932911,0,28929860,0,0,1482401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8986601,25582751,0,0,0,0,0,0,0,9741955,0,0,0,0,12206817,0,0,0,10412241,0,0,0,0,0,0,0,0,0,0,0,0,0,131807958
bwil.5.29,Sa.ni,preferred,preferred,12441275,11124224,6690215,0,0,0,0,1939290,0,0,0,4091948,0,0,0,0,0,0,0,0,14174155,0,0,4611717,0,0,0,31128595,1383668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5053214,0,0,0,0,0,0,0,0,0,0,5295582,51084583,0,0,0,0,0,0,0,0,0,0,2902081,0,6426607,0,0,0,43633625,0,0,15294869,0,0,0,0,0,0,5193039,0,0,0,222468687
bwil.6.5,Sa.ni,preferred,preferred,21383370,0,1808237,0,0,0,0,0,0,0,0,5878857,0,0,0,0,0,0,0,0,1605249,0,0,0,0,0,0,14967168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11304030,0,0,0,0,0,0,0,0,0,0,3701091,23842607,0,0,0,0,0,0,1445224,0,1004561,0,0,0,0,0,0,0,53894833,0,0,0,0,0,0,0,2025935,3935475,0,0,0,0,146796637
bwil.6.6,Sa.ni,preferred,preferred,35170018,0,2954266,0,0,0,0,0,0,0,0,5401155,0,0,0,0,0,0,0,0,7321195,0,0,0,0,0,0,23350654,0,0,0,1079200,0,0,0,0,2791040,0,0,0,0,0,0,0,0,0,0,0,0,0,4162774,0,0,0,0,0,0,0,0,0,0,2622826,24523272,0,0,0,0,0,0,2547922,0,0,0,1050209,1137634,0,0,0,0,19583755,0,0,7083936,0,0,0,0,0,1857153,0,0,0,1137978,143774987
ehem.6.21,Ts.ca,avoided,avoided,17557108,0,0,0,0,0,6831235,0,0,40890448,23028467,0,19988870,234965229,0,0,0,35134139,0,0,0,0,0,0,49707283,0,49260645,0,0,8364954,0,0,0,7618503,0,0,0,0,0,0,0,0,0,0,0,15069803,0,0,0,12066095,79167913,0,0,0,0,0,0,0,172449698,0,0,8509502,35799124,0,0,0,0,0,0,3527862,0,6613217,0,0,68888695,0,3662425,0,92209510,0,0,0,4921430,0,0,0,0,0,0,0,0,0,11806229,1008038384
ehem.6.30,Ts.ca,avoided,avoided,7608499,0,0,0,0,0,0,0,0,20595330,7093579,0,4928311,118883066,0,0,0,0,0,0,1660394,0,0,0,6826252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3131585,0,0,0,3025210,7276930,0,0,0,0,0,0,0,29812228,0,0,4336087,15663229,0,0,0,0,0,0,1240862,0,2125806,0,0,19053288,0,0,0,27924737,0,0,0,0,0,0,0,0,0,0,0,0,0,4315722,285501115
ehem.6.28,Ts.ca,avoided,avoided,8434297,0,0,0,0,0,0,4093530,0,39447485,21351980,0,17728477,193951420,0,0,0,43290252,0,0,4756030,0,0,0,37204770,2625913,47336780,0,0,5410468,0,0,0,4585345,0,0,0,0,0,0,0,0,0,0,0,8139903,0,1265948,0,11193397,10429598,0,0,0,2472584,0,0,0,112084393,0,0,6973579,15835533,0,0,0,0,3156000,0,0,0,0,0,4682375,50982583,0,5142669,0,71086803,0,0,0,27520219,0,0,0,0,0,0,0,0,0,10253651,771435982
ehem.7.19,Ts.ca,avoided,avoided,0,0,1080122,0,0,0,4086481,0,0,37559237,14919038,0,7205367,122091210,0,0,0,6430966,0,0,4787415,0,0,0,40244391,1860153,26805831,0,0,0,0,0,0,4441723,0,0,0,0,0,0,0,0,0,0,0,5143738,0,0,0,11147338,25591534,0,0,0,0,0,0,0,105895200,0,0,3242404,6426312,0,2062141,0,0,0,0,0,0,0,0,0,15395668,0,2117239,0,17753098,1531964,0,0,0,0,2728723,0,0,0,0,0,0,0,1052483,471599776
ercd.5.11,Ju.vi,avoided,avoided,0,0,0,0,0,0,0,0,0,0,0,0,81519328,12648490,0,0,0,0,0,32012188,0,0,0,0,403831373,0,0,0,0,0,0,0,0,5630960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15734414,0,2208462,0,0,0,26562060,0,0,0,5928030,3239638,7161744,0,0,4764179,0,0,0,0,0,4911836,6293395,7329821,26683933,0,2200459,0,2060446,0,0,0,15399066,0,4796775,0,8809983,0,0,9060848,0,0,24944351,713731779
ercd.5.31,Ju.vi,avoided,avoided,3994414,0,0,0,0,0,0,5027782,0,0,0,0,86216985,10470633,0,1956019,0,0,0,0,0,0,0,3205071,18523562,0,0,0,0,0,0,0,0,0,0,0,0,0,1420522,0,0,0,0,0,0,0,0,0,4780325,0,0,0,2273597,0,0,0,0,0,0,0,9598912,4144611,15722909,0,0,18139092,0,0,0,0,0,0,0,4787729,16480214,0,0,4209937,4621715,0,0,6683376,30093048,0,8808362,0,0,0,0,5614646,0,0,34615211,301388672
ercd.6.23,Ju.vi,avoided,avoided,9089362,0,0,0,0,0,0,0,0,0,0,4718485,0,7102290,0,0,0,0,0,0,0,0,0,0,156863672,0,0,0,0,0,0,0,0,0,0,0,0,0,21178237,0,0,0,0,0,0,0,0,0,0,0,7834053,4965009,0,0,0,0,4858195,0,0,0,0,8891476,20408865,0,0,0,0,0,1817024,1447938,0,0,0,3757197,2204559,0,4299157,0,0,8864237,0,0,17489254,0,0,0,0,0,7774068,0,0,0,4089801,297652879
ercd.7.20,Ju.vi,avoided,avoided,3568366,0,0,0,0,0,3091806,0,0,1528678,0,0,124366291,23077134,0,0,0,0,0,0,0,0,0,0,251425428,0,0,0,0,1615590,0,0,0,5767784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10679499,0,0,0,5129986,3848304,23583590,0,0,0,0,0,0,2253898,0,2610444,0,5010696,23799253,0,3654654,0,0,0,0,0,14494889,0,6452944,0,0,0,0,3848399,0,0,20466196,540273829
smap.5.9,Ac.sa,avoided,preferred,0,0,0,0,0,0,0,0,3525269,0,0,0,0,0,0,0,0,0,0,0,31285142,0,0,2659815,0,0,0,0,4411422,0,1688352,0,0,0,0,0,0,1094694,0,0,0,559931,750984,0,1640936,0,0,0,0,0,3349150,0,0,1299382,0,0,0,0,0,0,0,6088055,10815645,0,0,0,0,0,0,1068468,0,0,0,0,0,0,3614990,0,0,0,0,0,0,3976640,0,0,0,0,0,0,0,0,0,77828875
smap.5.13,Ac.sa,avoided,preferred,0,0,0,7152535,0,0,0,0,0,0,0,0,0,0,0,0,7342210,0,0,0,0,0,0,0,0,0,0,0,0,0,4649181,0,0,0,5608107,0,0,2931776,0,0,0,1926709,2222490,0,0,0,0,0,0,0,12727645,0,0,5506857,0,0,0,0,0,0,0,22213989,62019441,0,0,0,0,0,0,3986287,0,0,0,0,0,0,7433219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145720446
smap.5.17,Ac.sa,avoided,preferred,46164030,0,0,0,0,0,0,0,0,0,0,0,44402434,0,0,0,3260616,0,0,0,13141108,0,0,0,0,0,0,0,0,0,2196277,0,5581453,0,3089371,0,0,1433933,0,0,0,1054257,0,0,0,0,0,0,0,0,2449952,0,0,4438872,0,0,0,0,0,0,0,8701540,61516283,0,0,0,3834923,0,0,7183440,0,0,0,0,0,0,4298060,0,0,0,0,0,0,0,0,0,0,0,20487787,0,0,0,0,233234336
smap.6.7,Ac.sa,avoided,preferred,82103216,0,0,0,0,0,0,5727934,0,0,0,21061970,0,0,0,0,4996754,0,0,0,42871121,0,0,15114462,0,0,0,0,0,0,0,4898363,0,0,0,0,0,2749301,0,0,0,3854926,0,0,0,0,0,0,0,0,5866757,0,0,0,0,0,0,3157676,0,0,0,16928487,62735075,0,0,0,0,0,0,0,0,0,0,0,0,0,6769209,0,0,6580888,5246557,0,0,0,0,0,0,0,13025938,0,0,0,0,303688634
wash.6.27,Fr.am,neutral,preferred,6352032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16286757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19503816,0,5818365,0,0,0,0,0,0,0,0,0,0,0,31732275,0,0,0,0,0,0,0,0,0,0,4490075,12304724,6077490,0,0,2999094,0,0,0,0,0,0,0,1625880,0,1998270,0,0,38814227,0,0,3263288,0,0,8760777,0,0,0,0,0,0,0,160027070
wash.5.21,Fr.am,neutral,preferred,7187239,0,0,0,0,0,0,2121399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4775493,0,0,0,0,0,0,1070169,998025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443861,0,0,0,0,0,4764286,22351130,0,0,0,0,0,0,0,0,0,0,0,0,0,2646325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2435852,0,49793779
wash.6.3,Fr.am,neutral,preferred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1649599,0,0,0,0,0,0,0,0,0,0,2670598,5677044,0,0,0,0,0,0,270288,0,0,0,0,0,0,1200751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12928904
woak.5.18,Qu.al,neutral,preferred,6844794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11862144,0,0,0,0,1357483,0,93053357,0,2479311,0,0,0,0,0,0,128501709,0,0,0,0,0,0,0,0,0,0,0,0,0,4462153,0,0,521478,0,0,0,0,0,0,0,1861053,12673598,0,0,0,0,0,0,691502,0,0,0,656047,10406537,0,1149367,0,1706820,69402184,0,0,4807605,0,0,0,0,0,0,0,7069017,0,0,359506159
woak.5.15,Qu.al,neutral,preferred,7688644,0,8118444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179223603,0,0,0,0,0,0,27784154,0,0,0,0,0,0,0,0,31673831,0,0,0,0,0,0,0,0,0,0,0,0,0,29652876,0,0,0,0,0,0,0,0,0,0,2981407,13020422,0,0,0,0,0,0,0,0,0,0,0,3631886,0,2233835,0,1207567,52141081,0,0,0,0,0,0,0,0,0,0,7468402,0,0,366826152
woak.6.17,Qu.al,neutral,preferred,9577487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7447321,0,0,0,0,0,0,20948747,0,0,0,0,0,0,0,0,80724454,0,0,0,0,0,0,0,0,0,0,0,0,0,50963069,0,0,0,0,0,0,0,0,0,0,3426652,17875250,0,0,0,0,0,0,2547859,0,0,0,2575872,4055094,0,1895412,0,0,347542115,0,0,0,0,0,0,0,3343926,5326553,0,3049881,0,0,561299692
wpin.5.10,Pi.st,avoided,avoided,0,0,0,0,12121234,27891500,0,0,0,267687132,29276072,0,72572903,2702818281,0,0,0,0,26409531,1149728394,0,35111105,0,0,830218556,0,601049549,0,0,67993146,0,0,0,541704120,0,10874927,0,0,0,0,0,0,0,8289804,0,0,15309942,0,0,0,33615340,0,7959110,0,0,0,0,0,313084556,0,0,16050190,11651436,0,0,0,0,0,0,0,17782471,0,0,7890942,115119400,0,15374963,0,33882989,0,0,0,63201232,0,24035506,0,0,0,0,0,0,0,21997298,7080701629
wpin-5-31,Pi.st,avoided,avoided,0,0,0,0,0,0,0,0,0,53635557,1511082,0,7198491,193101286,0,0,0,15589686,0,0,0,0,0,0,64791765,0,86020473,0,0,0,0,0,0,6804474,0,0,0,1031291,0,0,27536319,0,654780,0,0,0,0,0,0,0,14300967,0,0,0,3321530,0,0,0,0,91921344,0,5534602,22146348,0,0,0,0,0,0,0,0,0,0,1200870,11058813,0,2967889,0,4473297,12383132,0,0,13681079,0,9087868,0,0,0,0,0,0,0,0,649952943
wpin.6.20,Pi.st,avoided,avoided,7683301,0,0,0,0,0,0,0,0,96737159,6038195,0,9336123,296436302,0,0,0,0,0,120979529,0,0,0,0,57553043,0,72546853,0,0,2116286,0,0,0,22497131,0,0,0,0,0,0,0,0,0,0,0,0,3638280,0,0,0,0,0,0,0,0,0,0,0,0,22149036,0,5372166,15187971,0,0,0,0,0,0,1619495,0,2803177,0,2102060,26962155,0,2703870,0,3323610,0,0,0,13522645,0,7630729,0,0,0,0,0,0,0,0,798939116
wpin.7.18,Pi.st,avoided,avoided,0,0,0,0,0,0,0,0,0,44896674,9136131,0,7664187,220291015,0,0,0,0,0,138555017,0,0,0,0,42879460,2917442,55869705,0,0,3606815,0,0,0,19329579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14681638,0,0,0,0,0,0,0,0,11084457,0,7055348,38288830,0,0,0,0,0,0,2894814,0,3346612,0,4969364,26021106,0,5943997,0,8079897,3426324,0,0,38069383,0,12430557,0,0,0,28307378,0,0,0,8122103,757867833
